Name,Team,Position,Cost,Creativity,Influence,Threat,ICT,Goals_conceded,Goals_scored,Assists,Own_goals,Penalties_missed,Penalties_saved,Saves,Yellow_cards,Red_cards,TSB,Minutes,Bonus,Points
Williams,HUD,MID,45,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
Willian,CHE,MID,74,470.1,227.0,269.0,96.7,6,2,3,0,0,0,0,1,0,6.6,703,2,46
Wilmot,WAT,DEF,40,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,2,0,1
Wilshere,WHU,MID,48,33.5,46.2,11.0,9.0,9,0,0,0,0,0,0,2,0,1.2,333,0,7
Wilson,BOU,FWD,67,212.3,310.6,499.0,101.9,12,6,7,0,1,0,0,3,0,34.0,967,8,70
Winks,TOT,MID,55,39.9,46.8,9.0,9.5,4,0,0,0,0,0,0,2,0,0.0,416,0,13
Wood,BUR,FWD,62,32.5,54.2,121.0,20.4,15,1,0,0,0,0,0,0,0,0.2,451,0,19
Xhaka,ARS,MID,53,200.8,261.4,65.0,52.9,13,2,1,0,0,0,0,4,0,3.5,924,2,34
Yarmolenko,WHU,MID,68,84.6,86.0,122.0,29.1,6,2,1,0,0,0,0,2,0,0.7,456,2,27
Yedlin,NEW,DEF,45,96.1,172.2,23.0,29.2,14,1,1,1,0,0,0,1,0,1.3,889,1,33
Yoshida,SOU,DEF,42,0.3,26.0,0.0,2.6,3,0,0,0,0,0,0,0,0,0.5,90,0,1
Young,MUN,DEF,57,155.3,112.4,11.0,27.9,13,0,2,0,0,0,0,3,0,1.1,630,0,13
Zabaleta,WHU,DEF,43,51.8,169.6,34.0,25.5,9,0,1,0,0,0,0,3,0,2.6,720,4,22
Zaha,CRY,FWD,68,190.8,202.2,308.0,70.2,14,3,2,0,0,0,0,3,0,15.1,900,3,38
Zambo Anguissa,FUL,MID,44,51.0,91.8,43.0,18.6,11,0,0,0,0,0,0,0,0,0.2,486,0,14
Zanka,HUD,DEF,44,27.4,188.6,27.0,24.5,15,1,0,0,0,0,0,4,0,3.5,887,2,28
Zappacosta,CHE,DEF,51,0.4,1.0,21.0,2.2,0,0,0,0,0,0,0,0,0,0.1,6,0,1
Zeegelaar,WAT,DEF,42,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Zinchenko,MCI,MID,48,39.1,24.6,30.0,9.4,0,0,0,0,0,0,0,0,0,0.0,90,0,3
Zohore,CAR,FWD,47,57.0,14.8,105.0,17.7,6,0,0,0,0,0,0,0,0,0.3,258,0,8
Zouma,EVE,DEF,50,16.3,140.4,49.0,20.6,10,0,1,0,0,0,0,0,0,0.3,721,3,28
van Aanholt,CRY,DEF,54,104.4,186.6,156.0,44.6,16,1,1,0,0,0,0,2,0,3.8,990,5,39
van Dijk,LIV,DEF,59,13.9,238.4,70.0,32.3,5,0,0,0,0,0,0,1,0,16.0,954,4,44
van La Parra,HUD,MID,47,57.6,27.8,41.0,12.6,6,0,0,0,0,0,0,0,0,0.0,405,0,10
Ozil,ARS,MID,84,276.8,211.4,105.0,59.4,10,3,1,0,0,0,0,0,0,5.8,746,7,45
